paper_id,MethodFamily__agent_A,MethodFamily__agent_B,MethodFamily__agent_C,MethodFamily__agent_D,conflict_class
1,199,102,102,102,多派分歧
2,199,102,102,102,多派分歧
3,199,103,102,102,多派分歧
4,199,102,102,102,多派分歧
5,199,103,199,199,多派分歧
6,199,102,199,102,两派分歧
7,199,101,107,199,多派分歧
8,107,105,107,107,多派分歧
9,199,101,107,199,多派分歧
10,199,102,102,102,多派分歧
11,199,101,102,102,多派分歧
12,199,102,102,102,多派分歧
13,199,101,199,105,多派分歧
14,102,102,199,106,多派分歧
15,102,102,107,102,多派分歧
16,102,105,107,199,多派分歧
17,102,102,107,105,多派分歧
18,199,102,106,102,多派分歧
19,199,101,106,105,多派分歧
20,102,101,105,105,多派分歧
21,102,102,102,105,多派分歧
22,102,102,102,105,多派分歧
26,102,101,102,199,多派分歧
28,102,102,102,199,多派分歧
30,102,102,102,105,多派分歧
31,102,102,102,105,多派分歧
32,102,102,102,199,多派分歧
33,101,102,102,102,多派分歧
34,199,102,102,102,多派分歧
36,102,101,102,102,多派分歧
37,102,102,102,199,多派分歧
38,102,102,102,199,多派分歧
39,102,102,102,105,多派分歧
40,102,102,102,107,多派分歧
41,101,101,102,105,多派分歧
42,102,101,102,105,多派分歧
43,102,101,102,102,多派分歧
44,101,101,102,102,两派分歧
45,101,102,102,199,多派分歧
46,101,101,102,102,两派分歧
48,102,102,102,107,多派分歧
49,102,101,102,102,多派分歧
50,102,102,102,105,多派分歧
51,199,101,102,105,多派分歧
52,199,102,102,105,多派分歧
53,199,101,102,105,多派分歧
54,199,101,102,102,多派分歧
55,199,101,102,105,多派分歧
56,199,101,102,102,多派分歧
57,199,102,102,102,多派分歧
58,199,102,102,107,多派分歧
59,102,102,102,107,多派分歧
60,102,102,102,199,多派分歧
61,199,101,102,105,多派分歧
62,102,102,199,102,多派分歧
63,102,101,199,199,多派分歧
64,199,102,199,105,多派分歧
65,102,102,199,107,多派分歧
66,101,102,199,105,多派分歧
67,101,101,199,102,多派分歧
68,102,102,107,102,多派分歧
69,102,102,107,105,多派分歧
70,102,101,107,105,多派分歧
71,102,101,107,105,多派分歧
72,107,101,107,102,多派分歧
73,107,101,107,105,多派分歧
74,107,101,107,105,多派分歧
75,107,102,107,199,多派分歧
76,107,101,107,105,多派分歧
77,107,102,107,105,多派分歧
78,102,102,107,103,多派分歧
79,103,101,103,105,多派分歧
80,102,102,102,199,多派分歧
