paper_id,MethodNormativity__agent_A,MethodNormativity__agent_B,MethodNormativity__agent_C,MethodNormativity__agent_D,conflict_class
1,1,2,1,2,相邻分歧
2,1,2,1,1,相邻分歧
3,1,2,1,1,相邻分歧
4,1,2,1,1,相邻分歧
5,1,2,1,1,相邻分歧
6,1,2,1,1,相邻分歧
7,1,2,2,1,相邻分歧
8,2,2,2,1,相邻分歧
9,1,2,2,1,相邻分歧
10,1,2,1,1,相邻分歧
11,1,2,1,1,相邻分歧
12,1,2,1,2,相邻分歧
13,1,2,1,1,相邻分歧
14,2,2,1,2,相邻分歧
16,2,2,2,1,相邻分歧
18,1,2,2,1,相邻分歧
19,1,2,2,2,相邻分歧
21,2,2,1,2,相邻分歧
22,2,2,1,2,相邻分歧
23,2,2,1,1,相邻分歧
24,2,2,1,2,相邻分歧
26,2,2,2,1,相邻分歧
28,2,2,2,1,相邻分歧
29,2,2,2,1,相邻分歧
32,2,2,2,1,相邻分歧
33,2,2,2,1,相邻分歧
34,1,2,2,1,相邻分歧
35,2,2,2,1,相邻分歧
36,2,2,2,1,相邻分歧
37,2,2,2,1,相邻分歧
38,2,2,2,1,相邻分歧
43,2,2,2,1,相邻分歧
45,2,2,2,1,相邻分歧
49,2,2,2,1,相邻分歧
51,1,2,2,2,相邻分歧
52,1,2,2,2,相邻分歧
53,1,2,2,2,相邻分歧
54,1,2,2,1,相邻分歧
55,1,2,2,2,相邻分歧
56,1,2,2,2,相邻分歧
57,1,2,2,2,相邻分歧
58,1,2,2,2,相邻分歧
60,2,2,2,1,相邻分歧
61,1,2,2,2,相邻分歧
62,2,2,1,2,相邻分歧
63,2,2,1,1,相邻分歧
64,1,2,1,2,相邻分歧
65,2,2,1,2,相邻分歧
66,2,2,1,2,相邻分歧
67,2,2,1,2,相邻分歧
75,2,2,2,1,相邻分歧
78,2,2,2,1,相邻分歧
80,2,2,1,1,相邻分歧
