paper_id,Methodology__agent_A,Methodology__agent_B,Methodology__agent_C,Methodology__agent_D,conflict_class
1,1,3,3,3,多派分歧
2,1,3,3,3,多派分歧
3,1,3,3,3,多派分歧
4,1,3,3,3,多派分歧
5,1,3,1,1,多派分歧
6,1,3,1,3,两派分歧
7,1,3,2,1,多派分歧
9,1,3,2,1,多派分歧
10,1,3,3,3,多派分歧
11,1,3,3,3,多派分歧
12,1,3,3,3,多派分歧
13,1,3,1,2,多派分歧
14,3,3,1,3,多派分歧
15,3,3,2,3,多派分歧
16,3,2,2,1,多派分歧
17,3,3,2,2,两派分歧
18,1,3,3,3,多派分歧
19,1,3,3,2,多派分歧
20,3,3,2,2,两派分歧
21,3,3,3,2,多派分歧
22,3,3,3,2,多派分歧
26,3,3,3,1,多派分歧
28,3,3,3,1,多派分歧
30,3,3,3,2,多派分歧
31,3,3,3,2,多派分歧
32,3,3,3,1,多派分歧
34,1,3,3,3,多派分歧
37,3,3,3,1,多派分歧
38,3,3,3,1,多派分歧
39,3,3,3,2,多派分歧
40,3,3,3,2,多派分歧
41,3,3,3,2,多派分歧
42,3,3,3,2,多派分歧
45,3,3,3,1,多派分歧
48,3,3,3,2,多派分歧
50,3,3,3,2,多派分歧
51,1,3,3,2,多派分歧
52,1,3,3,2,多派分歧
53,1,3,3,2,多派分歧
54,1,3,3,3,多派分歧
55,1,3,3,2,多派分歧
56,1,3,3,3,多派分歧
57,1,3,3,3,多派分歧
58,1,3,3,2,多派分歧
59,3,3,3,2,多派分歧
60,3,3,3,1,多派分歧
61,1,3,3,2,多派分歧
62,3,3,1,3,多派分歧
63,3,3,1,1,两派分歧
64,1,3,1,2,多派分歧
65,3,3,1,2,多派分歧
66,3,3,1,2,多派分歧
67,3,3,1,3,多派分歧
68,3,3,2,3,多派分歧
69,3,3,2,2,两派分歧
70,3,3,2,2,两派分歧
71,3,3,2,2,两派分歧
72,2,3,2,3,两派分歧
73,2,3,2,2,多派分歧
74,2,3,2,2,多派分歧
75,2,3,2,1,多派分歧
76,2,3,2,4,多派分歧
77,2,3,2,2,多派分歧
78,3,3,2,3,多派分歧
79,3,3,3,2,多派分歧
80,3,3,3,1,多派分歧
