paper_id,MethodTag,MethodFamily,Methodology,MethodTransparency,MethodNormativity,coder_notes_rule_code
1,20,102,3,1,2,906
2,20,102,3,1,2,906
3,20,103,3,1,2,908
4,20,102,3,1,2,906
5,20,103,3,1,2,908
6,20,102,3,1,2,906
7,20,101,3,1,2,905
8,20,105,2,3,2,907
9,20,101,3,1,2,905
10,20,102,3,1,2,906
11,20,101,3,1,2,905
12,20,102,3,1,2,906
13,20,101,3,1,2,905
14,20,102,3,1,2,906
15,20,102,3,1,2,906
16,20,105,2,2,2,907
17,20,102,3,1,2,906
18,20,102,3,1,2,906
19,20,101,3,1,2,905
20,20,101,3,1,2,905
21,20,102,3,1,2,906
22,20,102,3,1,2,906
23,20,102,3,1,2,906
24,20,102,3,1,2,906
25,20,102,3,1,2,906
26,20,101,3,1,2,905
27,20,102,3,1,2,906
28,20,102,3,1,2,906
29,20,102,3,1,2,906
30,20,102,3,1,2,906
31,20,102,3,1,2,906
32,20,102,3,1,2,906
33,20,102,3,1,2,906
34,20,102,3,1,2,906
35,20,102,3,1,2,906
36,20,101,3,1,2,905
37,20,102,3,1,2,906
38,20,102,3,1,2,906
39,20,102,3,1,2,906
40,20,102,3,1,2,906
41,20,101,3,1,2,905
42,20,101,3,1,2,905
43,20,101,3,1,2,905
44,20,101,3,1,2,905
45,20,102,3,1,2,906
46,20,101,3,1,2,905
47,20,102,3,1,2,906
48,20,102,3,1,2,906
49,20,101,3,2,2,905
50,20,102,3,1,2,906
51,20,101,3,2,2,905
52,20,102,3,1,2,906
53,20,101,3,1,2,905
54,20,101,3,2,2,905
55,20,101,3,1,2,905
56,20,101,3,1,2,905
57,20,102,3,1,2,906
58,20,102,3,1,2,906
59,20,102,3,1,2,906
60,20,102,3,1,2,906
61,20,101,3,2,2,905
62,20,102,3,1,2,906
63,20,101,3,2,2,905
64,20,102,3,1,2,906
65,20,102,3,1,2,906
66,20,102,3,1,2,906
67,20,101,3,1,2,905
68,20,102,3,1,2,906
69,20,102,3,1,2,906
70,20,101,3,2,2,905
71,20,101,3,2,2,905
72,20,101,3,2,2,905
73,20,101,3,2,2,905
74,20,101,3,1,2,905
75,20,102,3,1,2,906
76,20,101,3,2,2,905
77,20,102,3,1,2,906
78,20,102,3,1,2,906
79,20,101,3,2,2,905
80,20,102,3,1,2,906
