variable	paper_id	r2_order	r2_checklist
MethodFamily	16	1	MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199
MethodFamily	19	2	MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199
MethodFamily	51	3	MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199
MethodFamily	53	4	MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199
MethodFamily	55	5	MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199
MethodFamily	61	6	MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199
MethodFamily	66	7	MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199
MethodFamily	70	8	MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199
MethodFamily	71	9	MF阈值清单: 预设比较维度≥1 | 对照/样本边界清楚 | 材料可相互印证≥1；不足→199
coder_notes_rule_code	16	10	注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?
coder_notes_rule_code	19	11	注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?
coder_notes_rule_code	51	12	注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?
coder_notes_rule_code	53	13	注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?
coder_notes_rule_code	55	14	注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?
coder_notes_rule_code	61	15	注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?
coder_notes_rule_code	66	16	注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?
coder_notes_rule_code	70	17	注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?
coder_notes_rule_code	71	18	注记规则触发: 缺失补偿? 上下位概念比照? 示例优先级? 一致性回填?
